timestamp,spill_number,action_id,action_name,reward,state
2025-05-26T16:21:36.789636,7480517,3,Index,2,"[0.15000000596046448, 19.0, 316.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:37.292376,7480623,3,Index,2,"[0.25999999046325684, 5.0, 402.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:37.795091,7480613,3,Index,2,"[0.2199999988079071, 7.0, 495.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:38.298083,7480614,3,Index,2,"[0.2199999988079071, 14.0, 354.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:38.801038,7480620,3,Index,2,"[0.36000001430511475, 7.0, 308.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:39.304097,7480627,3,Index,2,"[0.30000001192092896, 7.0, 359.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:39.806493,7480628,3,Index,2,"[0.3799999952316284, 11.0, 419.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:40.309757,7480706,3,Index,2,"[0.28999999165534973, 5.0, 378.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:40.812757,7480708,3,Index,2,"[0.3799999952316284, 10.0, 441.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:41.315616,7480713,3,Index,2,"[0.33000001311302185, 15.0, 340.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:41.818195,7480716,3,Index,2,"[0.3199999928474426, 14.0, 260.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:42.321753,7480717,3,Index,2,"[0.28999999165534973, 19.0, 485.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:42.824753,7480719,3,Index,2,"[0.18000000715255737, 12.0, 478.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2025-05-26T16:21:43.327076,7480718,3,Index,2,"[0.18000000715255737, 12.0, 267.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
